livre.chapitre.verset,Bafia
ROM.1.1,"Pol, ǹkìì-kìsay a Yeesus Kiris, ànɛ Bɛ̀ll à reŋìghà lɛ a ɓa ǹkɛ̀nì-fìtom a Yeesus, à ki ɓa ti nɗɛsiyɛn dɛgà ɓi rìghagsì ɗi Syeesyee à Ɓɔlɛ à Bɛ̀ll. "
ROM.1.2,"Bɛ̀ll à kàkà Syeesyee à Ɓɔlɛ ànɛ̀n abɛ̀y, ɓɛ̀kpaŋzì-ɓìɓan ɓɛ ki kàngà kìɓan kiǹ ɓi kaàtà à Bɛ̀ll. "
ROM.1.3,"Syeesyee à Ɓɔlɛ ànɛ̀n à seesee Man wiì, ànɛ à yalɛ̀ngà mum ɓi boo ì ɓum ì Davit. "
ROM.1.4,"Ɓi san ànɛ a Kìtɛntɛ̀ɛ̀n ki Nghay, ki ghɛnɛ̀n lɛ à rì Man à Bɛ̀ll, rì ìtèɗ, ɓi rìghèmɓɛ̀n ɗi à ghèmɓɛ̀ngày a ɓìloŋ. "
ROM.1.5,"Ɓi Yeesus Kiris à Kan wìs nnɛ Bɛ̀ll à kìghà mɛ̀ geesɛ̀n ìnɛ lɛ mɓa ǹkɛ̀nì-fìtom ɓi rìkem ɗi Kiris lɛ nsyoŋ̀ yì ɓumɓɛ ɓi ɓìlɔ̀ŋ ɓìcèm lɛ ɓɛɛ gherɛn nyi, ɓɛ ki nyi mɛ̀wog. "
ROM.1.6,"Ɓì rì girig ɓi bàlì ì ɓumɓɛ̀n, mìni ɓɛ Yeesus Kiris à reŋìghày; "
ROM.1.7,"nni mìni ɓɛ̀sɛ̀ɛ̀ ɓɛ̀cèm ɓɛ Bɛ̀ll à keesii yɛ̀ɛ mɛ̀nɔ̀ɓɔ̀, ɓɛ bì rì a Rom, mìniì ɓɛ à reŋìghà lɛ ɓi ɓa ɓum ɓii, Bɛ̀ll à Seŋì wìs ɓɛɛ̀ Kan Yeesus, ɓɛɛ fa mìni lɛ rì geesɛ̀n rì fyòoog."
ROM.1.8,"Mɛ̀ ǹka faa Bɛ̀ll wɛ̀m ɓìtògsɛ̀n lɛ Yeesus Kiris, ɓisu win mɛ̀to mɛ̀cèm ɓisuulɛ rìgherɛ̀n ɗin ɗyɛɛ̀ keŋkem zi bimiɗ. "
ROM.1.9,"Bɛ̀ll ànɛ nkìki kisay ɓi nghay wɛ̀m ɓi rìghaàghàgsì ɗi Syeesyee à Ɓɔlɛ à Man wiì, à rì mɛ̀ wusìnɛ̀ɗ lɛ ǹti mɓùgì mìni ɓyààmɛ̀n ɓìcèm, "
ROM.1.10,"ɓi bɔ̀ŋzɛ̀n yɛm̀ kɛ̀ɛ nfɔɛy, ǹtɔtɔ̀g Bɛ̀ll lɛ, i ki ri lɛ ki kɔǹ nyi, mɛ̀ɛ mɓa ɓà min ɗi bee inɛ lɛ n-yu a lɔ̀ŋkin. "
