livre.chapitre.verset,Bafia
LUK.1.1,"Wɔ̀ Tyoofil, ɓum lɛɛ̀gwey ɓɛ tumɛ̀ngà rìkàn ɗi ɓiban ɓi ɓi kilɛ̀ngà ɓi nyìinyìm wìs, "
LUK.1.2,"ɓɛ ki kangà ɓyɔ lɔŋ yɛ̀ɛ ɓɛ̀wusìnɛ̀ɗ ɓɛ ɓɛ ghɛngà ɓìɓan ɓiǹ, à tumɛ̀n à rìtumɛ̀n, ɓɛ kpaaghà; ɓɛ̀wusìnɛ̀ɗ ɓɛǹ, ɓɛɛ ti ɓɛ̀ghagsì jɛ̀ɛ̀ ì Bɛ̀ll. "
LUK.1.3,"Mɛ̀ mɛ̀ɛ ǹtimi ɓìɓan ɓiǹ ɓìcèm lɔŋ yɛ̀ɛ ki ghɛɛ̀sɛɛ, à tumɛ̀n a rìtumɛ̀n ɗi ɓyɔ, nni mɛ̀ɛ nghɛɛ kìrɔɔ lɛ nkonag ɓyɔ kì wòŋzaagh, ǹki kàn yi wɔ̀ ɓyɔ lɛ tɛntɛ̀ɛ̀n, wɔ̀ gìn i mum ìnɛ lɛ Tyoofil, "
LUK.1.4,lɛ di fɔlɔɔ nnɛ u yi saaɗ ànɛ ɓi mɛ̀rèsàg mɛ ù tekà.
LUK.1.5,"Ɓi cààmɛ̀n ki Eroodɛ à ɓaghà rìfòm ɗi a Zyude, pìrɛɛtìrɛ̀ àdɛŋ à ɓaghà ŋwaànɛ ɓi ǹɗaŋ wu ɓɛpìrɛɛtìrɛ̀ wu Aɓya, ɗii lɛ Zakarii; gil a ɓaghà ɗii lɛ Eliisaɓɛt; à ki ɓa ɓi boo ì ɓum ì Arɔn. "
LUK.1.6,"Kìɓɛ̀ɛ̀ ki ɓum kiǹ ki ɓaghà lɛ saaɗ ɓi mis mɛ Bɛ̀ll, lɛ ɓɛ ɓeŋɓèŋgà ɓìɗɔ̀gsɛna ɓi Kan, rì mɛ̀siŋdɛn mii mɛcèm, ɓɛ̀ kɛɛ̀ cɔɓtɛn. "
LUK.1.7,"Kìɓan kifog ɓɛ ɓaghà kɛ̀ɛ̀ man, lɛ Eliisaɓɛt à ɓaghà nɔ̀nɔg, fɔɔnnɛ ɓɔɔ̀cèm ɓɛ ɓaghà di ɓɛ ti ɓɛ̀sɛ̀ɛ̀mɛn. "
LUK.1.8,"Nni yɛ̀ɛ Zakarii à ɓaghà ɓiì kìkii kisay kii ɓi mis mɛ Bɛ̀ll, lɛ caàmàn ki lɛ, ɓumɓɛ ɓi ǹɗaŋ wii ɓɛɛ ki kìsay kɛɛ ɓaghà, "
LUK.1.9,"fɔɔnnɛ ɓɛ pikà ǹtɔ̀ŋ fɛlɛ yɛ̀ɛ kisyɔ̀ɔ̀ ki ɓi kìsay ki ɓɛpìrɛɛtìrɛ̀ ki ɓaghà, ki ghɛnɛ̀n lɛ nnyɛɛ ghɛɛ̀sɛɛ kì ɗiŋii ɓi naà-Bɛ̀ll lɛ a ɓɔgsi nyi rì fìru. "
LUK.1.10,"Gwìy ì ɓɛ̀gherɛ̀n bimiɗ ì ɓaghà ɓiì kìkii bɔ̀ŋzɛ̀n ɓi dan, ɓi caàmàn ki ɓɛ m̀ɓɔsaagh Bɛ̀ll miì rì fìru fi tɔ̀nɛn. "
LUK.1.11,"Fɔɔnnɛ ŋwaà-fìtom à Kan à rèsɛ̀ngà Zakarii, à rɛlì ɓi weèlem à jàŋ inɛ ɓɛ ǹtɔ̀ngì fìru miì. "
LUK.1.12,"Yɛ̀ɛ Zakarii à ghɛngà nyi, à ɓuùsɛ̀n, iris wu ɓan nyi. "
LUK.1.13,"Kìɓan kifog ŋwaà-fìtom a kpaa nyi lɛ: Zakarii, kɔ̀ɔ risi, ɓisuulɛ Bɛ̀ll àa ǹwoogh bɔ̀ŋzɛ̀n yɔ̀ɔ̀, Eliisaɓɛt à giɓ wɔɔ̀ à ɓiì yalì wɔ̀ man à baŋì, ù ròò nyi ɗii lɛ Zyaŋ. "
LUK.1.14,"Man ànɛ̀n à rì ɓiì ɓaa com ki, kɛɛ puɓsi wɔ̀ ǹɗem, ki ki fa wɔ̀ coo kìnyàà, ɓum lɛɛ̀gwey ɓɛ ɓiì woògh girig kìrɔɔ ɓi rìyalɛ̀n ɗii. "
LUK.1.15,"Ɓisuulɛ à ɓiì ɓaà coo mum ɓi mis mɛ Kan, àa nɔ ɓi mɛrɔ̀g, kɛ̀ɛ̀ kì nɔ nsoò com kidɛŋ ki ki ri lɛ ki ŋwaŋzì mum. À ɓiì ɓaà ǹɗonɛn ri Kìtɛntɛ̀ɛ̀n ki Nghay, à tumɛ̀n ɓi ɗùm ɗi jɛɛ. "
LUK.1.16,"A ɓiì kìi lɛ, ɓɔn ɓɛ Isirayɛl lɛɛ̀gwey ɓɛɛ sugtiì yɛ̀ɛ Kan Bɛ̀ll wàà. "
LUK.1.17,"À ɓiì loògh kisyòŋi Bɛ̀ll bee à ɓa lɛ rì nghay, rì ìtèɗ wu Eli, lɛ a ki lɛ, ɓɛ̀seŋi ɓɛɛ woòghrɛn tì rì ɓɔn ɓaa, ɓɛ̀roɓɛ ɓɛ ri rì ǹtogwey ɓɛ ɓa tì rì ɗyomzɛ̀n ɗi ɓum ɓɛsaaɗ, à ki pègsɛn Kan kìlɔ̀ŋ ki ki ri kìɓùŋɛn lɛ kɛɛ ghaɓ nyi. "
LUK.1.18,"Nni Zakarii à kpaaghà ŋwaà-fìtom lɛ: Lannɛ mɛ̀ ǹɗì ɓiì yiì lɛ kìɓan kiǹ ki ri saaɗ? Ghɛna lɛ, mɛ̀ ǹti kìtùg ki mum, giɓ wɛm̀ girig kìtùg. "
LUK.1.19,"Nni ŋwaà-fìtom a ɓakà nyi lɛ: Mɛ̀ yɛ̀ɛ ri Gabiriyɛl, ǹti ndɛlàg Bɛ̀ll asu; fɔɔnnɛ àa romiì mɛ̀ lɛ, ǹtoòghrɛn ɓɛɛ wɔ̀, ǹki kpaa wɔ syeesyee à ɓɔlɛ ànɛ. "
LUK.1.20,"Nni yɛ̀ɛ ù ghèrɛɛ ɓì jɛ̀ɛ̀ yɛ̀m ìnɛ, ì rì ɓìì ronì ɓi cààmɛ̀n ki yɔ̀, kìɓan kiǹ kɛɛ̀ki ù ɓiì rɔ̀ɓi mùm-mùm, kɛ̀ɛ̀ bee inɛ u toòghrɛn à kpaŋ ŋwos anɛ ɓìɓan ɓiǹ ɓi ɓiì kìlɛɛ."
LUK.1.21,"Ɓi cààmɛ̀n kiǹ kìlɔ̀ŋ ki ɓoŋɓoŋgà Zakarii ɓi ɗyɔ̀m, ki yeesì ɓɔ ɓisuucɛ nnɛ à finɛ̀ngày fɔlɔɔ ɓi naà-Bɛ̀ll. "
LUK.1.22,"Yɛ̀ɛ à kpagày, bee inɛ lɛ a kpaa ɓɔ com yɛ̀ kɛɛ̀ ɓa, fɔɔnnɛ ɓɛ yighà min lɛ, àa ghɛɛ kìɓan kidɛŋ ki koŋnyòò ɓi naà-Bɛ̀ll. À fèfèkà ɓɔ ɓìɓan ri ɓyàɓ ǹfèfèghɛn à rɔ̀ɓ lɔŋ mùm-mùm."
LUK.1.23,"Yɛ̀ɛ mɛ̀ru mii mɛ kìsay mɛ lekà, à sug a mɛɛ mii. "
LUK.1.24,"Yɛ̀ɛ ɓɔɔ mɛru ɓɛ ghaghìghà nnɛ Eliisaɓɛt à gil a tekà ɗyem, à kɔ̀rì naa rì naa ɓɛ̀ŋwii ɓɛtaǹ; "
LUK.1.25,"à kpaakpaaghà lɛ: Geesɛ̀n yɛɛ̀nɛ Kan à kìi mɛ̀ lɛ, yɛ̀ɛ àa nghɛɛ mɛ̀ nyìighnyìg, à pisì kìɓan ki ki ǹɗì mɛ̀ rì ǹtoòrìɗ ɓi nyìinyìm à ɓum."
LUK.1.26,"Ɓi ŋwii à kìtaàfog, Bɛ̀ll à romgà ŋwaà-fìtom Gabiriyɛl ɓi bàn ìdɛŋ ìnɛ a Galile ɗii lɛ Naazarɛt, "
LUK.1.27,"yɛ̀ɛ gɔ̀n ì giɓ ìnɛ ì ɓaghà kɛ̀ɛ̀ kìyiì ɓɛ̀baŋì, ì ki ɓa ri ǹkàg wu riwɛy rì mum ɗii lɛ Yoosɛɓ ànɛ à ɓaghà ɓi boo ì mum ì Davit. Gɔ̀n ìncèm ì ɓaghà ɗii lɛ Marii. "
LUK.1.28,"Nni ŋwaà-fìtom à ɗiŋighà à lɔ̀ŋkii à kpaa nyi lɛ: Ǹtògsii wɔ̀, Bɛ̀ll àa ǹkìi wɔ̀ geesɛ̀n; Kan à rì ǹɗaŋ ri wɔ̀. "
LUK.1.29,"Jɛ̀ɛ̀ inɛn ì ɓuusìghà Marii tìɓòmis, fɔɔnnɛ à tɔɔghrɛ̀ngà rì ǹɗem lɛ: Rìkuu ɗi ɓìtògsɛ̀n ɗi ɗi resii ɓa cɛ? "
LUK.1.30,"Ŋwaàfìtom a kpaa nyi lɛ: Marii, kɔ̀ɔ risi, lɛ Bɛ̀ll à mɛ rèsi wɔ geesɛ̀n. "
LUK.1.31,"Ghɛna, ù ɓiì terì ɗyem, ù yay man à baŋì, ù ròò nyi ɗii lɛ Yeesus. "
LUK.1.32,"A ɓiì ɓaà kìtèetèɗ ki mum, ɓɛ regì nyi lɛ Man à Bɛ̀ll ànɛ à teŋmɛɛ kɛ̀ɛ̀ vèg. Fɔɔnnɛ Kan Bɛ̀ll à rì nyi ɓiì faà ìkɔ̀ɔ̀ wu rìlàmì wu Davit à seŋì à ǹsɛ̀ɛ̀. "
LUK.1.33,"À ɓiì làmii naa ì ɓum ì Yakɔɓ fìɗyàɓ fikɔ̀ɔ̀, rìlàmì ɗii ɗi finɛ̀n kɛ̀ɛ̀ sugtag. "
LUK.1.34,Nni Marii à tɔkà ŋwaà-fìtom lɛ: Kìɓan kiǹ ki ri ɓiì kìlɛɛ ɓi bee ìbe yɛ̀ɛ mɛ̀ ǹka yi ɓi ɓɛbaŋì? 
LUK.1.35,"Ŋwaàfìtom a pɛ̀ɛ̀zì nyi lɛ: Kìtɛntɛ̀ɛ̀n ki Nghay ki rì ɓiì yùu a lɔ̀ŋkɔɔ, fɔlɔɔ nnɛ ìteɗ wu Bɛ̀ll ànɛ à teŋmɛɛ kɛ̀ɛ̀ vèg wu rì wɔ̀ ɓiì ɓyɔɔ. Fɔlɔɔ nnɛ ɓɛ ri regi kìtɛntɛ̀ɛ̀n ki Man ki ù ɓiì yalì lɛ: Man à Bɛ̀ll. "
LUK.1.36,"Eliisaɓɛt à gaa àmbog àa ǹteri ɗyem di à mɛrùn. Nyi ànɛ ɓɛ roòghà ɗii lɛ nɔ̀nɔg à giɓ, à ti rì ɗyem ɗi ɓɛ̀ŋwii taàfog; "
LUK.1.37,lɛ kìɓan ki ki yag Bɛ̀ll rìkì ki yin. 
LUK.1.38,"Nni Marii à kpaaghà lɛ: Mɛ̀ ǹɗì ǹkìì-kìsay a Kan, kɛɛ kilɛn lɔŋ yɛ̀ɛ wàa kpaà, nni ŋwaà-fìtom a pɛ̀sɛ̀ngà, à ghaàgh."
