livre.chapitre.verset,Bafia
1CO.1.1,"Mɛ̀ Pol ànɛ ǹɗì ǹɗeŋiyɛn lɛ mɓa ǹkɛ̀nì-fìtom a Yeesus Kiris lɛ rìkɔ̀n ɗi Bɛ̀ll, rì Sostɛn à geni wìs. "
1CO.1.2,"Tì kàni kìseŋi ki Bɛ̀ll ki ki ri a Kɔrɛŋt, rì ɓumɓɛ ɓɛ ri ɓɛ̀tɛnɛn ɓi Yeesus Kiris ɓi ɗùm ɓɔ yɛɛ ri ɓɛ̀reŋiyɛn lɛ ɓɛɛ ɓa ɓɛ̀gherɛ̀n, rì ɓum ɓɛ̀cèm ɓɛ ɓɛɛ̀ rereŋi ɗii ɗi Kan wìs Yeesus Kiris ɓaa soo rì fe, lɛ Yeesus à rì Kan wàà, nyi tì Kan wìs. "
1CO.1.3,Bɛ̀ll à Seŋi wìs ɓɛɛ̀ Kan Yeesus Kiris ɓɛɛ fa mìni lɛ rì geesɛ̀n rì fyòoog.
1CO.1.4,"Mɛ̀ɛ nfafa Bɛ̀ll ɓìtògsɛ̀n kɛ̀ɛ nfɔy ɓisu win, lɛ geesɛ̀n ì Bɛ̀ll ìnɛ ì falɛ̀ngà a lɔ̀ŋkin ɓi Yeesus Kiris. "
1CO.1.5,"Rì tì lɛ ɓi Kiris, ɓì mɛ teɗ ɓɛmààgh ɓɛ̀cèm, à ɓiisɛ̀n ɓɛ ɓɛ seesee kìtòkì, rì rìyi ɗi ɓiɓan. "
1CO.1.6,Lɛ rìrèsì ɗi ɓiɓan ɓi ɓi seesee cɛɓ ki Kiris ɗi mɛ ɓag gàŋ ri ìtèɗ a lɔ̀ŋkin. 
1CO.1.7,Fɔlɔɔ nnɛ com kidɛŋ ki kaarɛɛ tì ɓi mini ɓi rìɓoŋ ɗi ɓi ɓoŋɓoŋ cààmɛ̀n ki Yeesus Kiris à Kan wìs à ri rèsɛn ti. 
1CO.1.8,"Nyi yɛɛ ri mìni ɓiì sììraagh à kpaŋ a rìsugtɛ̀n lɛ ɓi ɓa kɛ̀ɛ̀ kìɓan ki ɓɛ ri lɛ ɓɛ ɓɛy mìni miì, ɓi ŋwos a Yeesus Kiris à Kan wìs. "
1CO.1.9,"Bɛ̀ll ànɛ à reŋìghà mìni lɛ ɓi ghɛɓ ɓɛ̀ràrɛn ri Man wiì Yeesus Kiris ànɛ à rì Kan wìs, à rì Bɛ̀ll ànɛ à ti à roòzàg mɛ̀kàg mii."
1CO.1.10,"Ɓɔɔsoŋ̀, ǹtɔɔgh mìni ɓi ɗii ɗi Kan wìs Yeesus Kiris lɛ, wooghrɛɛna jɛ̀ɛ̀, yɛ̀ɛ gasɛ̀n yɛ̀ kɛɛ̀ ɓa ɓi nyìinyìm wìn, kìɓan kifog, ɓaana ɓɛ̀ràrɛn kɔɔ̀kɔɔ̀ à rìràrɛ̀n, ɓì ɓa nɗem wufog rì fèg bogtɛ̀n. "
